"統一編號","公司名稱","負責人","公司地址","實收資本額","公司狀態","產製日期"
"12798207","廣三崇光國際開發股份有限公司","原O榮一","臺中市西區臺灣大道二段459號14樓","161913000","核准設立","2017-11-01 03:32:41.01"
"12799395","好康國際物流有限公司","","新北市新店區民族路一九○號Ｂ一","null","廢止","2017-11-01 03:32:41.01"
"12801619","岠峰企業有限公司","許O義","臺中市大雅區昌平路三段713號","0","核准設立","2017-11-01 03:32:41.01"
"12801879","捷士豐食材股份有限公司","","桃園市楊梅區楊湖路一段六七六巷一０弄一一七號","6000000","解散","2017-11-01 03:32:41.01"
"12805559","谷濱溫泉股份有限公司","","臺中市北屯區大坑里東山路二段七八巷八號一樓","10000000","廢止","2017-11-01 03:32:41.01"
"12807557","國際諾曼企業股份有限公司","","嘉義市東區芳安路390號","3000000","解散","2017-11-01 03:32:41.01"
"12808654","三嘉國際事業有限公司","","臺北市北投區明德路１０９號１樓","null","廢止","2017-11-01 03:32:41.01"
"12816633","台灣寶盛國際開發股份有限公司","","臺中市西區大忠街六二號一樓","5000000","廢止","2017-11-01 03:32:41.01"
"12822086","太驪企業有限公司","","新竹市經國路一段五三四號一四樓之三","null","廢止","2017-11-01 03:32:41.01"
"12822950","紫藤國際有限公司","","桃園市桃園區經國路９號１２樓之１","null","解散","2017-11-01 03:32:41.01"
"12823331","權歆科技有限公司","","桃園市桃園區復興路98號7樓之3","null","解散","2017-11-01 03:32:41.01"
"12824556","億祥業有限公司","蕭O業","新北市新店區北新路1段10號15樓之1","null","核准設立","2017-11-01 03:32:41.01"
"12825892","順元科技股份有限公司","","臺北市松山區南京東路５段１６３號１０樓","2700680","解散","2017-11-01 03:32:41.01"
"12827940","國際領航有限公司","","新北市三重區中山路二九０巷二三號","null","廢止","2017-11-01 03:32:41.01"
"12829031","村岳百貨有限公司","李O信","臺北市中山區新生北路3段93巷24號1樓","0","核准設立","2017-11-01 03:32:41.01"
"12829433","立岡國際股份有限公司","","臺南市安定區海寮里海寮132-38號2樓","15000000","解散","2017-11-01 03:32:41.01"
"12831450","福容大飯店股份有限公司","郭O珠","新北市五股區成泰路1段189巷16號地下2樓","2650000000","核准設立","2017-11-01 03:32:41.01"
"12832057","半天水生物科技有限公司","","臺中市北區明德里華美街二段100號3樓","0","解散","2017-11-01 03:32:41.01"
"12832090","國閣數位股份有限公司","","新北市樹林區大慶街九一號一樓","5500000","解散","2017-11-01 03:32:41.01"
"12836618","台灣辣網國際有限公司","","嘉義市溪興街二三一巷二二弄一號","null","廢止","2017-11-01 03:32:41.01"
"12837898","中國優能國際貿易有限公司","","新北市中和區錦和路一六二號","null","解散","2017-11-01 03:32:41.01"
"12847376","黃英文化事業有限公司","林O圍","臺南市歸仁區許厝里17鄰忠孝北路21號5樓","null","核准設立","2017-11-01 03:32:41.01"
"12848966","力頓國際有限公司","許O紅","臺中市南屯區文心南三路679號1樓","null","核准設立","2017-11-01 03:32:41.01"
"12850478","享弘實業有限公司","陳O今","桃園市中壢區松仁路2號4樓之1","0","核准設立","2017-11-01 03:32:41.01"
"12851666","問題王數位科技股份有限公司","","新北市三重區中山路一二八巷二號一樓","1000000","廢止","2017-11-01 03:32:41.01"
"12853622","康泰納仕時尚網有限公司","伍O生","臺北市信義區基隆路2段51號15樓","null","核准設立","2017-11-01 03:32:41.01"
"12853708","華辰開發有限公司","林O偉","臺北市松山區慶城街6之4號6樓之1","null","核准設立","2017-11-01 03:32:41.01"
"12857009","高畫質股份有限公司","蔡O源","臺北市信義區信義路5段150巷10號地下2樓","10000000","核准設立","2017-11-01 03:32:41.01"
"12857232","特勤國際股份有限公司","王O強","新北市板橋區五權街30巷19號","1000000","核准設立","2017-11-01 03:32:41.01"
"12859415","群鼎發展實業有限公司","","臺北市中山區民生西路１６號６樓之１０","null","解散","2017-11-01 03:32:41.01"
"12859914","高品股份有限公司","洪O由","臺北市中山區民生東路3段51號8樓","2531000000","核准設立","2017-11-01 03:32:41.01"
"12860399","都市策略股份有限公司","莫O楫","新北市汐止區新台五路1段112號22樓","4800000","核准設立","2017-11-01 03:32:41.01"
"12860665","都市策略開發股份有限公司","羅O政","臺北市士林區中山北路6段88號7樓","310000000","核准設立","2017-11-01 03:32:41.01"
"12863184","東豪百貨有限公司","","臺北市信義區忠孝東路５段７９０巷５９弄８號１樓","null","解散","2017-11-01 03:32:41.01"
"12864711","福樂多兆資有限公司","廖O富","臺北市大安區忠孝東路4段220號13樓","null","核准設立","2017-11-01 03:32:41.01"
